id,canonical_key,name,category,location,country,website_url,maps_url,rating,review_count,source,source_query,status,demand_score,website_pain_score,premium_fit_score,access_score,novelty_score,total_score,website_notes,business_notes,contact_email,phone,screenshot_path,last_seen_run_id,first_seen_at,updated_at,run_name,run_created_at
4,url:openskyparagliding.com.np,Open Sky Paragliding,paragliding operator,Pokhara,Nepal,https://www.openskyparagliding.com.np,https://www.tripadvisor.com/Attraction_Review-g293891-d11998996-Reviews-Open_Sky_Paragliding-Pokhara_Gandaki_Zone_Western_Region.html,4.9,522,DuckDuckGo public result snippets plus website audit,Open Sky Paragliding Pokhara TripAdvisor reviews official website,new,28.0,35.0,19.0,7.0,5.0,94.0,Owned site failed desktop and mobile audit with certificate common-name error.,High-demand Pokhara paragliding operator with 500+ public Tripadvisor review snippets.,,,,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
1,url:nepalyogahome.com,Nepal Yoga Home,yoga and meditation retreat,"Goldhunga, Kathmandu",Nepal,https://nepalyogahome.com,https://www.tripadvisor.com/Attraction_Review-g293890-d7140477-Reviews-Nepal_Yoga_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,5.0,796,Tripadvisor public listing plus official site,Nepal Yoga Home official website contact phone email Tripadvisor reviews rating,new,28.0,30.0,20.0,10.0,5.0,93.0,Large course and retreat inventory; dated WordPress feel; desktop has 316 links and mobile timed out in audit.,International yoga teacher training and retreat business with strong review evidence and direct package value.,nepalyogahome@gmail.com,+977-9849521819,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-yoga-home/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
3,url:bhhnepal.com,Boutique Heritage Home,boutique heritage stay,"Patan, Lalitpur",Nepal,https://www.bhhnepal.com,https://www.tripadvisor.com/Hotel_Review-g315764-d8700357-Reviews-Boutique_Heritage_Home-Patan_Lalitpur_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,4.9,213,Tripadvisor public listing plus official site,Boutique Heritage Home Patan official website contact email phone,new,26.0,32.0,20.0,10.0,5.0,93.0,Desktop timed out in audit; mobile loaded but showed many small image assets and an older direct-booking experience.,Restored Newari house near Patan Durbar Square with strong international stay appeal.,heritagehomenepal@gmail.com,+977-9851075282,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/boutique-heritage-home/mobile.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
2,url:nepalcookingschool.com.np,Nepal Cooking School,cooking and culture class,"Thamel, Kathmandu",Nepal,https://www.nepalcookingschool.com.np,https://www.tripadvisor.com/Attraction_Review-g293890-d10002291-Reviews-Nepal_Cooking_School-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,4.9,1251,Tripadvisor public listing plus official site,Kathmandu Nepali cooking class official website TripAdvisor reviews,new,30.0,30.0,16.0,10.0,5.0,91.0,Dated direct site with weak booking UX and stale content despite huge tourist demand.,High-volume tourist cooking class with social-enterprise story and private/group conversion upside.,info@nepalcookingschool.com.np,+977-9803894085,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-cooking-school/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
5,url:nepalalternativetreks.com,Nepal Alternative Treks & Expedition,trekking and expedition operator,"Raniban, Kathmandu",Nepal,https://nepalalternativetreks.com,https://www.tripadvisor.com/Attraction_Review-g293890-d7077048-Reviews-Nepal_Alternative_Treks_Expeditions-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centr.html,5.0,515,"Official site, TAAN, Trustpilot and Tripadvisor public snippets",Nepal Alternative Treks TripAdvisor reviews Manaslu Upper Mustang,new,28.0,31.0,18.0,9.0,5.0,91.0,Desktop/mobile audit showed 450+ links and many small image assets; huge package sprawl dilutes trust.,"Strong Everest, Annapurna, Manaslu, Upper Mustang, and peak-climbing fit; TAAN member evidence.",info@nepalalternativetreks.com,+977-9851130491,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-alternative-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
14,url:rural-heritage.com/the-old-inn,The Old Inn,heritage inn,Bandipur,Nepal,https://rural-heritage.com/the-old-inn,https://www.tripadvisor.com/Hotel_Review-g1949120-d1396819-Reviews-The_Old_Inn-Bandipur_Gandaki_Zone_Western_Region.html,4.5,503,Tripadvisor public listing plus Rural Heritage site,The Old Inn Bandipur official website contact email phone,new,27.0,29.0,20.0,9.0,5.0,90.0,Property is buried inside a parent microsite with limited direct-booking and room/story depth.,Iconic restored Newari inn in Bandipur with a beautiful cultural-stay story.,info@rural-heritage.com,+977-9808882270,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/the-old-inn/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
8,url:paragliding-nepal.com,Blue Sky Paragliding,paragliding operator,Pokhara,Nepal,https://www.paragliding-nepal.com,https://www.tripadvisor.com/Attraction_Review-g293891-d2529636-Reviews-Blue_Sky_Paragliding-Pokhara_Gandaki_Zone_Western_Region.html,4.8,164,DuckDuckGo public result snippets plus website audit,Blue Sky Paragliding Pokhara TripAdvisor reviews,new,24.0,35.0,18.0,7.0,5.0,89.0,Owned site failed desktop and mobile audit with certificate common-name error.,Original/long-running Pokhara tandem company per public review snippets; enough demand to warrant manual follow-up.,,,,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
15,url:nepalayurvedahome.com,Nepal Ayurveda Home,Ayurveda and yoga retreat,"Tarkeshwor/Goldhunga, Kathmandu",Nepal,https://nepalayurvedahome.com,https://www.tripadvisor.com/Attraction_Review-g293890-d15773040-Reviews-Nepal_Ayurveda_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,5.0,248,"Tripadvisor, BookRetreats public pages, official site",Nepal Ayurveda Home official website contact phone email,new,26.0,27.0,20.0,10.0,5.0,88.0,Older site and dense package structure; wellness offer is not packaged at a premium level.,"High-value Ayurveda, detox, panchakarma, and multi-day retreat packages.",nepalayurvedahome@gmail.com,+977-9851201828,,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
9,url:sherpaexpeditiontrekking.com,Sherpa Expedition and Trekking Pvt. Ltd,expedition and trekking operator,Kathmandu,Nepal,https://sherpaexpeditiontrekking.com,https://www.bookmundi.com/ta/nepal-tour-operators,5.0,232,"Bookmundi, official site, Explore-Share public pages",Sherpa Expedition and Trekking Bookmundi reviews expedition Nepal,new,26.0,29.0,20.0,8.0,5.0,88.0,Audit showed 300+ links on desktop/mobile and old-style menu depth; brand trust is diluted by clutter.,"Strong expedition positioning with 8000m/7000m routes plus EBC, Annapurna, Manaslu.",info@sherpaexpeditiontrekking.com,+9779866007038,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/sherpa-expedition-and-trekking/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
12,url:nepalecoadventure.com,Nepal Eco Adventure Pvt Ltd,"trekking, climbing and adventure operator","Saat Ghumti, Thamel, Kathmandu",Nepal,https://nepalecoadventure.com,https://www.bookmundi.com/companies/nepal-eco-adventure-pvt-ltd/c31,4.9,387,Bookmundi plus official site/contact page,Nepal Eco Adventure Bookmundi reviews contact,new,26.0,27.0,18.0,9.0,5.0,85.0,Audit showed 330+ links on desktop/mobile and many small assets; site feels older and catalog-heavy.,"Established Thamel operator with trekking, peak climbing, expeditions, Bhutan/Tibet/day tours.",mail@nepalecoadventure.com,+977-9851170646,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-eco-adventure/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
